DistrictCode,DistrictName,SchoolCode,SchoolName,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate
17001.0,Seattle School District No. 1,3778.0,Alan T. Sugiyama High School,26.0,6.0,,,3.0,7.0,3.0,29.0,9.0,10.0,10.0,0.3103
17001.0,Seattle School District No. 1,2220.0,Ballard High School,436.0,59.0,1.0,3.0,10.0,12.0,29.0,466.0,423.0,17.0,26.0,0.9077
17001.0,Seattle School District No. 1,3096.0,Chief Sealth International High School,243.0,37.0,1.0,7.0,5.0,13.0,21.0,259.0,218.0,15.0,26.0,0.8417
17001.0,Seattle School District No. 1,2392.0,Cleveland High School STEM,218.0,5.0,,,1.0,2.0,7.0,216.0,204.0,9.0,3.0,0.9444
17001.0,Seattle School District No. 1,2182.0,Franklin High School,270.0,43.0,1.0,4.0,4.0,9.0,24.0,289.0,253.0,18.0,18.0,0.8754
17001.0,Seattle School District No. 1,2306.0,Garfield High School,427.0,60.0,6.0,8.0,5.0,32.0,42.0,445.0,383.0,11.0,51.0,0.8607
17001.0,Seattle School District No. 1,4277.0,Hutch School (Closed after 2017-2018 school year),,3.0,,,,,3.0,0.0,0.0,0.0,0.0,
17001.0,Seattle School District No. 1,3276.0,Ingraham High School,289.0,41.0,,3.0,4.0,11.0,26.0,304.0,269.0,17.0,18.0,0.8849
17001.0,Seattle School District No. 1,1635.0,Interagency Programs,124.0,96.0,,8.0,6.0,22.0,62.0,158.0,42.0,80.0,36.0,0.2658
17001.0,Seattle School District No. 1,1547.0,Middle College High School,24.0,6.0,2.0,1.0,3.0,4.0,2.0,28.0,12.0,6.0,10.0,0.4286
17001.0,Seattle School District No. 1,3479.0,Nathan Hale High School,255.0,44.0,,1.0,3.0,7.0,27.0,272.0,234.0,27.0,11.0,0.8603
17001.0,Seattle School District No. 1,3868.0,Nova High School,85.0,12.0,,,4.0,3.0,17.0,80.0,56.0,17.0,7.0,0.7
17001.0,Seattle School District No. 1,3327.0,Rainier Beach High School,171.0,57.0,3.0,1.0,6.0,1.0,23.0,205.0,174.0,20.0,11.0,0.8488
17001.0,Seattle School District No. 1,2285.0,Roosevelt High School,400.0,71.0,1.0,,3.0,13.0,34.0,437.0,405.0,15.0,17.0,0.9268
17001.0,Seattle School District No. 1,1596.0,Seattle World School,9.0,66.0,4.0,10.0,16.0,6.0,10.0,65.0,8.0,21.0,36.0,0.1231
17001.0,Seattle School District No. 1,1856.0,The Center School,43.0,9.0,,1.0,,4.0,5.0,47.0,42.0,0.0,5.0,0.8936
17001.0,Seattle School District No. 1,2234.0,West Seattle High School,214.0,46.0,2.0,,2.0,13.0,28.0,232.0,206.0,9.0,17.0,0.8879
29101.0,Sedro-Woolley School District,2150.0,Sedro Woolley Senior High School,291.0,26.0,,4.0,4.0,3.0,25.0,292.0,270.0,11.0,11.0,0.9247
29101.0,Sedro-Woolley School District,1537.0,State Street High School,112.0,20.0,1.0,2.0,20.0,32.0,11.0,121.0,30.0,36.0,55.0,0.2479
